"","Location","Sample_MSB","Sample_AM","Sample_NK","lat","lon","Bulk_soil_density","Sand_content","Clay_content","Silt_content","Organic_content","Museum_num","Species_name","Lat","Long","Hind_foot_length"
"50","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,46
"51","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,46
"52","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,41
"53","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,41
"54","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,41
"55","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,44
"56","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,45
"57","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,45
"58","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,45
"59","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,37
"60","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,39
"61","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,46
"62","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,40
"63","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,40
"64","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,41
"65","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,44
"66","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,44
"67","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,44
"68","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,55
"69","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,48
"70","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,48
"71","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,40
"72","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,40
"73","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,43
"74","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,43
"75","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,48
"76","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,43
"77","15KMS.SAN.CRUZ","","","NK15042",-17.55,-63.08,1.29999995231628,51,26,23,14.6000003814697,"MSB","Ctenomys boliviensis",-17.55,-63.08,49
"78","1K.E.ISCAYACHI","MSB57190","","",-21.4833,-64.95,1.39999997615814,40,36,24,11.6000003814697,"AM263020","Ctenomys lewisi",-21.48333,-64.95,35
"79","1K.E.ISCAYACHI","MSB57190","","",-21.4833,-64.95,1.39999997615814,40,36,24,11.6000003814697,"MSB57186","Ctenomys lewisi",-21.48333,-64.95,40
"80","1K.E.ISCAYACHI","MSB57190","","",-21.4833,-64.95,1.39999997615814,40,36,24,11.6000003814697,"AM263015","Ctenomys lewisi",-21.48333,-64.95,40
"81","1K.E.ISCAYACHI","MSB57190","","",-21.4833,-64.95,1.39999997615814,40,36,24,11.6000003814697,"AM263017","Ctenomys lewisi",-21.48333,-64.95,36
"82","1K.E.ISCAYACHI","MSB57190","","",-21.4833,-64.95,1.39999997615814,40,36,24,11.6000003814697,"MSB57190","Ctenomys lewisi",-21.48333,-64.95,37
"83","1K.E.ISCAYACHI","MSB57190","","",-21.4833,-64.95,1.39999997615814,40,36,24,11.6000003814697,"AM263024","Ctenomys lewisi",-21.48333,-64.95,45
"84","1K.E.ISCAYACHI","MSB57190","","",-21.4833,-64.95,1.39999997615814,40,36,24,11.6000003814697,"AM263016","Ctenomys lewisi",-21.48333,-64.95,34
"85","1K.E.ISCAYACHI","MSB57190","","",-21.4833,-64.95,1.39999997615814,40,36,24,11.6000003814697,"MSB57193","Ctenomys lewisi",-21.48333,-64.95,40
"86","1K.E.ISCAYACHI","MSB57190","","",-21.4833,-64.95,1.39999997615814,40,36,24,11.6000003814697,"AM263019","Ctenomys lewisi",-21.48333,-64.95,40
"87","1K.E.ISCAYACHI","MSB57190","","",-21.4833,-64.95,1.39999997615814,40,36,24,11.6000003814697,"MSB57189","Ctenomys lewisi",-21.48333,-64.95,41
"88","1K.E.ISCAYACHI","MSB57190","","",-21.4833,-64.95,1.39999997615814,40,36,24,11.6000003814697,"AM263018","Ctenomys lewisi",-21.48333,-64.95,31
"89","1K.E.ISCAYACHI","MSB57190","","",-21.4833,-64.95,1.39999997615814,40,36,24,11.6000003814697,"AM263021","Ctenomys lewisi",-21.48333,-64.95,41
"90","1K.E.ISCAYACHI","MSB57190","","",-21.4833,-64.95,1.39999997615814,40,36,24,11.6000003814697,"AM263026","Ctenomys lewisi",-21.48333,-64.95,43
