Museum_num,Species_name,Location,Lat,Long,Hind_foot_length,Bulk_soil_density,Sand_content,Clay_content,Silt_content,Organic_content
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,43,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,43,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,43,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,43,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,44,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,44,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,44,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,44,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,45,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,45,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,45,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,45,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,45,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,45,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,46,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,46,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,46,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,46,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,47,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,47,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,47,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,47,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,48,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,48,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,48,,,,,
